Country,BBL_dayPetroleum
United States,20300000
China,11510000
Russia,6076000
India,4897000
Japan,3467000
"Korea, South",3302000
Brazil,2811000
Saudi Arabia,2476000
Germany,2158000
Canada,2009000
Iran,1764000
Italy,1607000
Spain,1361000
Thailand,1328000
France,1311000
United Kingdom,1290000
Netherlands,1282000
Indonesia,950000
United Arab Emirates,943500
Venezuela,926300
Taiwan,924000
Kuwait,915800
Mexico,844600
Singapore,755000
Belgium,731700
Argentina,669800
Turkey (Turkiye),657900
Greece,655400
Algeria,627900
Poland,554200
Egypt,547500
Malaysia,528300
South Africa,487100
Belarus,477200
Australia,462500
Sweden,413200
Iraq,398000
Norway,371600
Portugal,323000
Finland,310600
Colombia,303600
Israel,294300
Pakistan,291200
Kazakhstan,290700
Bahrain,274500
Qatar,273800
Romania,232600
Oman,229600
Chile,216200
Philippines,215500
Lithuania,196500
Turkmenistan,191100
Curacao,189800
Austria,186500
Denmark,183900
Czechia,177500
Peru,166600
Vietnam,153800
Hungary,152400
Bulgaria,144300
Azerbaijan,138900
Ecuador,137400
Trinidad and Tobago,134700
Slovakia,131300
New Zealand,115100
Syria,111600
Cuba,104100
Sudan,94830
Libya,89620
Croatia,74620
Serbia,74350
Cote d'Ivoire,69360
Jordan,67240
Morocco,66230
Bolivia,65960
Ireland,64970
Ukraine,63670
Uzbekistan,61740
Switzerland,61550
Angola,53480
Uruguay,42220
Cameroon,39080
Nigeria,35010
Sri Lanka,34210
Tunisia,27770
Bangladesh,26280
Jamaica,24250
Papua New Guinea,22170
Yemen,20180
Senegal,17590
Gabon,16580
Dominican Republic,16060
"Congo, Republic of the",15760
Niger,15280
Nicaragua,14720
Kenya,13960
Burma,13330
Zambia,13120
"Korea, North",11270
Brunei,10310
Suriname,7571
Kyrgyzstan,6996
Albania,5638
Ghana,2073
Guatemala,1162
Georgia,247
Moldova,232
Tajikistan,172
Belize,36
Afghanistan,0
American Samoa,0
Andorra,0
Antigua and Barbuda,0
Armenia,0
Aruba,0
"Bahamas, The",0
Barbados,0
Benin,0
Bermuda,0
Bhutan,0
Bosnia and Herzegovina,0
Botswana,0
British Virgin Islands,0
Burkina Faso,0
Burundi,0
Cabo Verde,0
Cambodia,0
Cayman Islands,0
Central African Republic,0
Chad,0
Comoros,0
"Congo, Democratic Republic of the",0
Cook Islands,0
Costa Rica,0
Cyprus,0
Djibouti,0
Dominica,0
El Salvador,0
Equatorial Guinea,0
Eritrea,0
Estonia,0
Eswatini,0
Ethiopia,0
Falkland Islands (Islas Malvinas),0
Faroe Islands,0
Fiji,0
French Polynesia,0
"Gambia, The",0
Gibraltar,0
Greenland,0
Grenada,0
Guam,0
Guinea,0
Guinea-Bissau,0
Guyana,0
Haiti,0
Honduras,0
Hong Kong,0
Iceland,0
Kiribati,0
Kosovo,0
Laos,0
Latvia,0
Lebanon,0
Lesotho,0
Liberia,0
Luxembourg,0
Macau,0
Madagascar,0
Malawi,0
Maldives,0
Mali,0
Malta,0
Marshall Islands,0
Mauritania,0
Mauritius,0
"Micronesia, Federated States of",0
Mongolia,0
Montenegro,0
Montserrat,0
Mozambique,0
Namibia,0
Nauru,0
Nepal,0
New Caledonia,0
Niue,0
North Macedonia,0
Panama,0
Paraguay,0
Puerto Rico,0
Rwanda,0
"Saint Helena, Ascension, and Tristan da Cunha",0
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Pierre and Miquelon,0
Saint Vincent and the Grenadines,0
Samoa,0
Sao Tome and Principe,0
Seychelles,0
Sierra Leone,0
Sint Maarten,0
Slovenia,0
Solomon Islands,0
Somalia,0
South Sudan,0
Tanzania,0
Timor-Leste,0
Togo,0
Tonga,0
Turks and Caicos Islands,0
Tuvalu,0
Uganda,0
Vanuatu,0
Virgin Islands,0
West Bank,0
Zimbabwe,0
